Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_000006945.2	ASM694v2	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2		LT2					Annotation submitted by NCBI RefSeq	Complete Genome	2016-01-13		2
GCF_000195955.2	ASM19595v2	Mycobacterium tuberculosis H37Rv		H37Rv					Annotation submitted by NCBI RefSeq	Complete Genome	2013-02-01		1
GCF_000009045.1	ASM904v1	Bacillus subtilis subsp. subtilis str. 168		168					Annotation submitted by NCBI RefSeq	Complete Genome	2009-03-17		1
GCF_009035845.1	ASM903584v1	Acinetobacter baumannii		ATCC 19606					GCF_009035845.1-RS_2024_03_30	Complete Genome	2019-10-16		3
GCF_000015785.2	ASM1578v2	Bacillus velezensis FZB42		FZB42					GCF_000015785.2-RS_2024_04_02	Complete Genome	2019-06-24		1
GCF_001457635.1	NCTC7465	Streptococcus pneumoniae		NCTC7465					GCF_001457635.1-RS_2024_10_11	Complete Genome	2015-03-22		1
GCF_000412675.1	ASM41267v1	Pseudomonas putida NBRC 14164		NBRC 14164					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2013-06-14		1
GCF_025998455.1	ASM2599845v1	Helicobacter pylori		CHC155					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-20		1
GCF_019048245.1	ASM1904824v1	Enterobacter hormaechei		FDAARGOS 1433					GCF_019048245.1-RS_2024_03_31	Complete Genome	2021-06-28		3
GCF_900186865.1	49243_F02	Stenotrophomonas maltophilia		NCTC10257					GCF_900186865.1-RS_2024_05_05	Complete Genome	2017-08-15		1
GCF_006094375.1	ASM609437v1	Staphylococcus epidermidis		ATCC 14990					GCF_006094375.1-RS_2024_04_23	Complete Genome	2019-06-06		3
