Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NZ_CP097562.1	467	628		plus	twin-arginine translocation signal domain-containing protein		0	protein-coding		WP_083688370.1	53	N508_RS00005
NZ_CP097562.1	799	3972		plus	molybdopterin-dependent oxidoreductase		0	protein-coding		WP_283805230.1	1057	N508_RS00010
NZ_CP097562.1	3988	4614		plus	4Fe-4S dicluster domain-containing protein		0	protein-coding		WP_023276944.1	208	N508_RS00015
NZ_CP097562.1	4679	5359		plus	molecular chaperone TorD family protein		0	protein-coding		WP_023276943.1	226	N508_RS00020
NZ_CP097562.1	5390	6925		plus	hypothetical protein		0	protein-coding		WP_076654162.1	511	N508_RS00025
NZ_CP097562.1	6935	7426		plus	hypothetical protein		0	protein-coding		WP_023275253.1	163	N508_RS00030
NZ_CP097562.1	7523	8269		minus	NlpC/P60 family protein		0	protein-coding		WP_023276796.1	248	N508_RS00035
NZ_CP097562.1	9050	9580		minus	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit		0	protein-coding		WP_023276795.1	176	N508_RS00040
NZ_CP097562.1	9596	11113		minus	acetyl-CoA carboxylase biotin carboxylase subunit		0	protein-coding		WP_023276794.1	505	N508_RS00045
NZ_CP097562.1	11129	12673		minus	acyl-CoA carboxylase subunit beta		0	protein-coding		WP_023276793.1	514	N508_RS00050
NZ_CP097562.1	13219	13576		plus	RNase P RNA component class A	rnpB	0	RNase_P_RNA				N508_RS00055
NZ_CP097562.1	13582	16188		minus	DKNYY domain-containing protein		0	protein-coding		WP_023276792.1	868	N508_RS00060
NZ_CP097562.1	16353	16856		plus	DUF2155 domain-containing protein		0	protein-coding		WP_023276791.1	167	N508_RS00065
NZ_CP097562.1	17174	17791		plus	response regulator		0	protein-coding		WP_023276790.1	205	N508_RS00070
NZ_CP097562.1	17793	18533		minus	YgjP-like metallopeptidase domain-containing protein		0	protein-coding		WP_023276789.1	246	N508_RS00075
NZ_CP097562.1	18562	18963		minus	hypothetical protein		0	protein-coding		WP_023276788.1	133	N508_RS00080
NZ_CP097562.1	19072	20775		plus	YgiQ family radical SAM protein		0	protein-coding		WP_023276787.1	567	N508_RS00085
NZ_CP097562.1	20836	21360		minus	hypothetical protein		0	protein-coding		WP_023276786.1	174	N508_RS00090
NZ_CP097562.1	21361	21930		minus	STM3941 family protein		0	protein-coding		WP_023276785.1	189	N508_RS00095
NZ_CP097562.1	21941	22423		minus	peptidylprolyl isomerase		0	protein-coding		WP_040637371.1	160	N508_RS00100
NZ_CP097562.1	22552	23091		minus	peptidylprolyl isomerase		0	protein-coding		WP_231380110.1	179	N508_RS00105
NZ_CP097562.1	23146	23601		minus	transcriptional repressor		0	protein-coding		WP_023276782.1	151	N508_RS00110
NZ_CP097562.1	23799	23872		plus	tRNA-Arg		0	tRNA				N508_RS00115
NZ_CP097562.1	23998	24657		minus	XRE family transcriptional regulator		0	protein-coding		WP_023276781.1	219	N508_RS00120
NZ_CP097562.1	24908	25213		plus	helix-turn-helix domain-containing protein		0	protein-coding		WP_023276780.1	101	N508_RS00125
NZ_CP097562.1	25481	25645		plus	hypothetical protein		0	protein-coding		WP_155944399.1	54	N508_RS00130
NZ_CP097562.1	25657	26061		plus	single-stranded DNA-binding protein	ssb	0	protein-coding		WP_023276778.1	134	N508_RS00135
NZ_CP097562.1	26283	26537		plus	hypothetical protein		0	protein-coding		WP_023276776.1	84	N508_RS00140
NZ_CP097562.1	26776	27687		plus	IS30 family transposase		0	protein-coding		WP_283805218.1	303	N508_RS00145
NZ_CP097562.1	27883	28992		plus	XRE family transcriptional regulator		0	protein-coding		WP_023276775.1	369	N508_RS00150
NZ_CP097562.1	28997	29581		plus	hypothetical protein		0	protein-coding		WP_023276774.1	194	N508_RS00155
NZ_CP097562.1	30032	30235		plus	hypothetical protein		0	protein-coding		WP_023276773.1	67	N508_RS00160
NZ_CP097562.1	30342	31043		plus	hypothetical protein		0	protein-coding		WP_143815599.1	233	N508_RS00165
NZ_CP097562.1	31130	33988		plus	conjugal transfer protein TraG N-terminal domain-containing protein		0	protein-coding		WP_023276771.1	952	N508_RS00170
NZ_CP097562.1	34136	35335		plus	hypothetical protein		0	protein-coding		WP_040637337.1	399	N508_RS00175
NZ_CP097562.1	35340	35735		minus	hypothetical protein		0	protein-coding		WP_023276769.1	131	N508_RS00180
NZ_CP097562.1	35932	37134		minus	HNH endonuclease		0	protein-coding		WP_023276768.1	400	N508_RS00185
NZ_CP097562.1	37124	38899		minus	DNA adenine methylase		0	protein-coding		WP_023276767.1	591	N508_RS00190
NZ_CP097562.1	38853	39101		minus	DNA adenine methylase		0	protein-coding		WP_023276766.1	82	N508_RS00195
NZ_CP097562.1	39600	39992		plus	hypothetical protein		0	protein-coding		WP_023276765.1	130	N508_RS00200
NZ_CP097562.1	40004	40531		plus	hypothetical protein		0	protein-coding		WP_023276764.1	175	N508_RS00205
NZ_CP097562.1	40921	41499		minus	Abi family protein		0	protein-coding		WP_023276763.1	192	N508_RS00210
NZ_CP097562.1	41616	41804		minus	hypothetical protein		0	protein-coding		WP_023276762.1	62	N508_RS00215
NZ_CP097562.1	41841	42053		minus	YjzC family protein		0	protein-coding		WP_023276761.1	70	N508_RS00220
NZ_CP097562.1	42380	42769		minus	helix-turn-helix transcriptional regulator		0	protein-coding		WP_023276760.1	129	N508_RS00225
NZ_CP097562.1	43329	43511		minus	hypothetical protein		0	protein-coding		WP_251930640.1	60	N508_RS00230
NZ_CP097562.1	43516	43989		minus	type II toxin-antitoxin system antitoxin SocA domain-containing protein		0	protein-coding		WP_023276758.1	157	N508_RS00235
NZ_CP097562.1	44504	44923		plus	hypothetical protein		0	protein-coding		WP_023276757.1	139	N508_RS00240
NZ_CP097562.1	45137	46300		minus	HEPN-associated N-terminal domain-containing protein		0	protein-coding		WP_023276756.1	387	N508_RS00245
NZ_CP097562.1	46492	47919		minus	hypothetical protein		0	protein-coding		WP_023276755.1	475	N508_RS00250
NZ_CP097562.1	47996	48238		minus	type II toxin-antitoxin system RnlB family antitoxin		0	protein-coding		WP_350028804.1	80	N508_RS10940
NZ_CP097562.1	48342	49772		minus	viroplasmin family protein		0	protein-coding		WP_023276753.1	476	N508_RS00255
NZ_CP097562.1	49966	51033		minus	competence protein CoiA family protein		0	protein-coding		WP_023276752.1	355	N508_RS00260
NZ_CP097562.1	51317	51577		plus	type II toxin-antitoxin system RelB/DinJ family antitoxin		0	protein-coding		WP_023276751.1	86	N508_RS00265
NZ_CP097562.1	51570	51830		plus	Txe/YoeB family addiction module toxin		0	protein-coding		WP_023276750.1	86	N508_RS00270
NZ_CP097562.1	51957	52130		plus	hypothetical protein		0	protein-coding		WP_023276749.1	57	N508_RS00275
NZ_CP097562.1	52146	52577		plus	hypothetical protein		0	protein-coding		WP_023276748.1	143	N508_RS00280
NZ_CP097562.1	52626	53111		plus	dual specificity protein phosphatase		0	protein-coding		WP_023276747.1	161	N508_RS00285
NZ_CP097562.1	53121	54509		plus	P-loop NTPase fold protein		0	protein-coding		WP_023276746.1	462	N508_RS00290
NZ_CP097562.1	54640	55026		minus	uncharacterized gene		0	pseudogene				N508_RS00295
NZ_CP097562.1	55270	56133		minus	hypothetical protein		0	protein-coding		WP_023276744.1	287	N508_RS00300
